frame_number,src_mac,dst_mac,eth_type,src_ip,dst_ip,ip_proto,ip_ttl,src_port,dst_port,tcp_flags,packet_time,packet_length
1,00:1b:21:9a:47:79,52:54:00:53:41:a7,2048,176.126.243.198,185.47.63.113,17,61,36635,19,0,1575817175.977180,60
2,52:54:00:53:41:a7,00:1b:21:9c:b5:65,2048,185.47.63.113,176.126.243.198,17,64,19,36635,0,1575817175.977636,1066
1,00:1b:21:9a:47:79,52:54:00:53:41:a7,2048,176.126.243.198,185.47.63.113,17,61,36635,19,0,1575817175.977180,60
2,52:54:00:53:41:a7,00:1b:21:9c:b5:65,2048,185.47.63.113,176.126.243.198,17,64,19,36635,0,1575817175.977636,1066
1,00:1b:21:9a:47:79,52:54:00:53:41:a7,2048,176.126.243.198,185.47.63.113,17,61,36635,19,0,1575817175.977180,60
2,52:54:00:53:41:a7,00:1b:21:9c:b5:65,2048,185.47.63.113,176.126.243.198,17,64,19,36635,0,1575817175.977636,1066
1,00:1b:21:9a:47:79,52:54:00:53:41:a7,2048,176.126.243.198,185.47.63.113,17,61,36635,19,0,1575817175.977180,60
2,52:54:00:53:41:a7,00:1b:21:9c:b5:65,2048,185.47.63.113,176.126.243.198,17,64,19,36635,0,1575817175.977636,1066
1,00:1b:21:9a:47:79,52:54:00:53:41:a7,2048,176.126.243.198,185.47.63.113,17,61,36635,19,0,1575817175.977180,60
2,52:54:00:53:41:a7,00:1b:21:9c:b5:65,2048,185.47.63.113,176.126.243.198,17,64,19,36635,0,1575817175.977636,1066
1,00:1b:21:9a:47:79,52:54:00:53:41:a7,2048,176.126.243.198,185.47.63.113,17,61,36635,19,0,1575817175.977180,60
2,52:54:00:53:41:a7,00:1b:21:9c:b5:65,2048,185.47.63.113,176.126.243.198,17,64,19,36635,0,1575817175.977636,1066
1,00:1b:21:9a:47:79,52:54:00:53:41:a7,2048,176.126.243.198,185.47.63.113,17,61,36635,19,0,1575817175.977180,60
2,52:54:00:53:41:a7,00:1b:21:9c:b5:65,2048,185.47.63.113,176.126.243.198,17,64,19,36635,0,1575817175.977636,1066
1,00:1b:21:9a:47:79,52:54:00:53:41:a7,2048,176.126.243.198,185.47.63.113,17,61,36635,19,0,1575817175.977180,60
2,52:54:00:53:41:a7,00:1b:21:9c:b5:65,2048,185.47.63.113,176.126.243.198,17,64,19,36635,0,1575817175.977636,1066
1,00:1b:21:9a:47:79,52:54:00:53:41:a7,2048,176.126.243.198,185.47.63.113,17,61,36635,19,0,1575817175.977180,60
2,52:54:00:53:41:a7,00:1b:21:9c:b5:65,2048,185.47.63.113,176.126.243.198,17,64,19,36635,0,1575817175.977636,1066
